Zone_ID,N,P,K,Moisture,pH,Temperature,Humidity,Semantic_Tag,Action_Suggested,Current_Node,Label
Z1,42.585275972760115,48.89420574650235,74.12992484147131,21.6153398106855,3.5164002705135697,17.014655983216688,39.53228713864791,"Pest-risk, Healthy",Apply Fertilizer,Cloud-Node-2,1
Z4,102.00529108447917,15.803636646891139,66.08793506881749,19.623635416218125,6.074303460124344,32.2669972517191,35.51978753127404,"K-deficiency, Healthy",Apply Pesticide,Cloud-Node-2,1
Z5,71.0,16.0,84.0,28.47,8.0,20.7,50.51,"N-deficiency, K-deficiency",Apply Pesticide,Cloud-Node-1,0
Z6,21.981709944061528,17.58536795524922,42.86433439091998,20.454306301319814,3.7713869419238915,23.42828928079047,41.40651347971123,"Healthy, Healthy",Apply Pesticide,Edge-Node-B,1
Z9,36.0,35.0,22.0,32.94,5.78,40.83,35.07,"Pest-risk, Healthy",Irrigate,Edge-Node-A,0
Z5,39.32163416897411,37.74876880221514,141.5578830083068,18.753460210972637,8.687984599824466,23.859391366789474,42.516446546490364,"K-deficiency, K-deficiency",Irrigate,Cloud-Node-2,1
Z6,59.0,14.0,55.0,28.67,6.34,22.45,30.31,"Healthy, Healthy",Apply Fertilizer,Edge-Node-A,0
Z10,14.255375623450064,4.386269422600019,10.965673556500048,5.749717333110689,6.645800993585176,25.436229681453113,37.86902007088503,"Healthy, N-deficiency",Irrigate,Cloud-Node-2,1
Z3,57.0,26.0,29.0,21.23,6.41,18.33,26.79,"Pest-risk, P-deficiency",Apply Pesticide,Edge-Node-A,0
Z4,53.0,42.0,61.0,9.17,5.55,24.35,77.46,"N-deficiency, N-deficiency",Irrigate,Edge-Node-B,0
Z8,14.564162094056135,5.721635108379196,25.487283664598237,27.504632673558216,7.522193873769165,27.885027489368213,79.9931068387803,"Pest-risk, Healthy",Apply Pesticide,Edge-Node-B,1
Z3,35.14604543467557,13.251787622910461,47.24550369907208,20.11742850346811,6.56439794174486,35.7066866568792,15.739161979966903,"K-deficiency, K-deficiency",Apply Pesticide,Edge-Node-A,1
Z2,39.69816909095675,14.537357695279939,12.859970268901485,20.86618777881599,9.279568311248646,28.817046677754696,16.708208861282277,"Pest-risk, Healthy",Apply Pesticide,Cloud-Node-1,1
Z6,27.61417391050622,10.40534089381394,29.214995586477595,16.649529345455093,7.07015718325211,26.5296758762067,46.28098597772389,"P-deficiency, N-deficiency",Monitor,Cloud-Node-2,1
Z3,59.0,15.0,75.0,18.55,6.58,31.94,52.62,"Pest-risk, N-deficiency",Apply Pesticide,Cloud-Node-1,0
Z9,23.0,9.0,25.0,37.29,6.13,20.17,85.24,"N-deficiency, Pest-risk",Monitor,Edge-Node-A,0
Z9,57.0,41.0,33.0,25.36,5.63,38.99,34.53,"K-deficiency, K-deficiency",Apply Pesticide,Edge-Node-A,0
Z3,11.10746282979348,16.198383293448824,15.272761390966034,32.83915769930551,4.649636699569531,26.72889221966833,71.58091202949491,"N-deficiency, N-deficiency",Monitor,Edge-Node-B,1
Z9,64.0,42.0,49.0,30.0,5.63,35.17,90.38,"Healthy, Pest-risk",Monitor,Cloud-Node-1,0
Z4,52.0,26.0,31.0,12.24,7.92,24.78,26.18,"Pest-risk, Pest-risk",Apply Fertilizer,Edge-Node-A,0
Z8,77.06712579820388,58.16386852694632,100.3326732089824,22.14416923379007,6.30597172939456,48.421946685012784,46.86356212847488,"N-deficiency, Healthy",Irrigate,Cloud-Node-1,1
Z10,40.0,28.0,40.0,17.0,7.5,29.82,28.38,"P-deficiency, Pest-risk",Apply Fertilizer,Edge-Node-A,0
Z5,24.0,20.0,76.0,24.23,5.99,35.57,59.6,"P-deficiency, N-deficiency",Monitor,Edge-Node-B,0
Z9,21.28621323386984,4.344125149769356,26.064750898616133,16.844917756539605,8.088652559342904,50.44893833404318,45.44093083425803,"K-deficiency, K-deficiency",Irrigate,Cloud-Node-2,1
Z5,73.0,5.0,82.0,13.05,7.18,28.96,91.12,"Healthy, P-deficiency",Apply Pesticide,Cloud-Node-1,0
Z7,61.0,41.0,41.0,23.67,5.72,35.88,56.68,"Healthy, P-deficiency",Monitor,Edge-Node-A,0
Z2,32.0,6.0,60.0,37.15,5.73,26.11,72.74,"Healthy, Pest-risk",Apply Pesticide,Cloud-Node-2,0
Z2,40.0,34.0,49.0,16.18,5.44,36.14,57.62,"K-deficiency, P-deficiency",Monitor,Edge-Node-B,0
Z9,28.0,10.0,88.0,31.34,5.61,21.37,77.43,"K-deficiency, P-deficiency",Monitor,Cloud-Node-2,0
Z1,26.883150138602986,9.458886159878828,27.38098625228082,40.74467658749768,5.484696793883357,26.64761976815484,93.57577668480022,"Healthy, N-deficiency",Apply Pesticide,Cloud-Node-1,1
Z5,69.0,34.0,27.0,18.2,7.87,22.61,83.08,"Healthy, P-deficiency",Monitor,Cloud-Node-2,0
Z3,51.0,7.0,43.0,11.84,5.05,37.76,72.69,"Pest-risk, P-deficiency",Irrigate,Edge-Node-A,0
Z1,34.0,32.0,50.0,19.67,6.5,22.98,73.06,"Healthy, P-deficiency",Monitor,Edge-Node-A,0
Z2,66.0,42.0,54.0,25.99,6.47,31.47,70.66,"K-deficiency, N-deficiency",Apply Fertilizer,Cloud-Node-1,0
Z3,15.235211076442468,15.235211076442468,19.438027925116252,9.153527521461527,4.092289952600032,17.487492124527332,22.070111838515036,"N-deficiency, Pest-risk",Irrigate,Cloud-Node-2,1
Z9,82.25485559297258,31.63648292037407,42.70925194250499,9.944070392761015,6.616894034838923,23.27214500562179,22.100868079503375,"K-deficiency, P-deficiency",Monitor,Cloud-Node-1,1
Z10,71.93568573195495,40.659300631104976,142.3075522088674,49.4912400035096,3.6245333198618646,28.71800370889707,120.44003721341113,"Healthy, P-deficiency",Apply Fertilizer,Cloud-Node-2,1
Z10,44.0,22.0,57.0,15.65,6.63,19.49,91.1,"Healthy, Healthy",Monitor,Edge-Node-A,0
Z8,25.0,23.0,78.0,22.33,7.95,34.83,62.45,"K-deficiency, N-deficiency",Monitor,Edge-Node-B,0
Z5,65.0,19.0,57.0,27.25,6.09,29.72,92.19,"K-deficiency, P-deficiency",Irrigate,Cloud-Node-1,0
Z4,98.85581168592664,22.131898138640295,116.56133019683888,11.719137823383386,7.789073845160497,38.990096686492976,16.479664248070723,"Healthy, K-deficiency",Monitor,Cloud-Node-2,1
Z5,25.98089817811379,16.58355202858327,50.303441153369256,21.42405624387153,5.51017719816757,23.259381144844948,37.96001629958749,"P-deficiency, K-deficiency",Monitor,Cloud-Node-1,1
Z6,32.92217916968541,61.35497027077734,52.37619413359042,16.079061205203875,4.740503707382094,43.39030822220995,120.63889921390108,"K-deficiency, K-deficiency",Apply Fertilizer,Cloud-Node-1,1
Z9,55.0,37.0,91.0,23.83,6.1,22.61,50.93,"Pest-risk, Healthy",Monitor,Edge-Node-B,0
Z5,50.0,19.0,64.0,35.58,6.55,29.59,30.43,"Pest-risk, K-deficiency",Irrigate,Edge-Node-B,0
Z1,84.72872248059932,52.75561965773165,84.72872248059932,5.3519080913168,8.855747704015684,17.21082767106071,16.31792150032615,"K-deficiency, Pest-risk",Monitor,Cloud-Node-2,1
Z1,47.90656401038265,65.87152551427614,95.8131280207653,50.55148622424826,3.6354486645348896,35.25045130821949,65.50754723733945,"Healthy, Pest-risk",Apply Pesticide,Edge-Node-A,1
Z2,28.952076062467903,16.66937712687546,19.74005186077357,38.43377122525294,7.589130239433855,17.528690891650186,140.10067462600966,"P-deficiency, N-deficiency",Apply Pesticide,Edge-Node-A,1
Z4,51.0,36.0,48.0,19.04,5.72,25.41,74.41,"N-deficiency, Pest-risk",Apply Pesticide,Edge-Node-B,0
Z2,53.0,36.0,46.0,25.35,5.33,39.75,29.24,"Pest-risk, N-deficiency",Monitor,Cloud-Node-2,0
Z9,44.0,5.0,63.0,21.28,7.1,21.47,28.68,"P-deficiency, N-deficiency",Irrigate,Cloud-Node-2,0
Z9,49.0,35.0,57.0,10.88,5.23,38.45,30.71,"P-deficiency, P-deficiency",Irrigate,Edge-Node-B,0
Z9,23.579837035394497,6.205220272472236,11.996759193446323,46.519708095005115,8.60011198337325,49.52158495256037,55.85142267406285,"Pest-risk, Pest-risk",Monitor,Cloud-Node-2,1
Z4,21.125509181529146,11.090892320302803,12.14716777937926,11.847195497486922,9.2224193493837,17.62739403001978,30.172716250540812,"P-deficiency, N-deficiency",Irrigate,Edge-Node-A,1
Z6,31.0,42.0,40.0,24.68,7.95,27.47,31.22,"N-deficiency, Healthy",Apply Fertilizer,Edge-Node-A,0
Z6,30.89469551878167,11.033819828136311,23.722712630493067,10.141464957516336,4.459125943368731,25.413033091110943,28.057701647016348,"Healthy, P-deficiency",Apply Fertilizer,Cloud-Node-1,1
Z8,58.58872838999904,48.33570092174921,125.96576603849793,15.679355467911485,8.748079708443509,22.424374853129674,45.71966284716274,"Healthy, P-deficiency",Apply Fertilizer,Cloud-Node-1,1
Z7,22.0,20.0,43.0,30.75,7.35,40.32,28.54,"Pest-risk, P-deficiency",Monitor,Cloud-Node-1,0
Z3,39.0,9.0,36.0,36.84,5.58,36.25,48.55,"P-deficiency, N-deficiency",Apply Pesticide,Edge-Node-A,0
Z9,15.92144697869695,7.278375761690034,33.20758941271078,21.892281958336795,9.266572696196683,13.274580722596571,94.5526353806128,"N-deficiency, N-deficiency",Monitor,Edge-Node-A,1
Z7,46.0,19.0,25.0,15.9,6.04,28.98,79.02,"P-deficiency, K-deficiency",Monitor,Cloud-Node-2,0
Z7,52.0,30.0,66.0,12.5,5.47,27.04,62.4,"P-deficiency, N-deficiency",Apply Pesticide,Edge-Node-A,0
Z8,24.75528681741482,7.314062014236198,12.37764340870741,47.07580511065907,5.632815256279164,38.17366396427262,117.52727970539429,"N-deficiency, Pest-risk",Apply Pesticide,Cloud-Node-2,1
Z7,67.0,39.0,47.0,32.69,6.8,27.48,79.53,"Pest-risk, N-deficiency",Monitor,Edge-Node-A,0
Z6,49.0,43.0,86.0,23.37,7.61,31.2,41.5,"K-deficiency, K-deficiency",Monitor,Cloud-Node-2,0
Z9,39.0,10.0,60.0,19.87,5.95,35.9,39.97,"Healthy, N-deficiency",Apply Pesticide,Cloud-Node-1,0
Z10,28.0,19.0,68.0,30.51,5.96,40.54,94.61,"Pest-risk, K-deficiency",Irrigate,Cloud-Node-1,0
Z4,29.449000624887894,20.178018946682446,28.903648761464044,13.96702630725209,7.983204250369605,25.821091928728848,29.82672210068369,"Healthy, P-deficiency",Apply Fertilizer,Cloud-Node-2,1
Z8,82.68001616023213,39.000007622751006,62.400012196401605,13.681349689862257,6.489966562823671,30.267073970063386,40.69992975574115,"Pest-risk, K-deficiency",Apply Fertilizer,Cloud-Node-1,1
Z6,60.0,19.0,57.0,12.19,5.86,38.47,77.09,"N-deficiency, P-deficiency",Apply Fertilizer,Edge-Node-B,0
Z4,70.0,43.0,91.0,34.72,6.75,32.59,88.91,"Pest-risk, P-deficiency",Apply Pesticide,Edge-Node-B,0
Z1,60.0,36.0,67.0,29.74,5.9,29.52,73.37,"Healthy, Pest-risk",Apply Pesticide,Cloud-Node-1,0
Z7,100.17943338666781,22.768053042424505,57.67906770747541,45.234035167825496,7.540911175802875,43.810981138164976,49.5905918335792,"Healthy, K-deficiency",Apply Pesticide,Cloud-Node-2,1
Z1,29.096484298337465,7.274121074584366,43.644726447506194,14.239469788407598,4.50701458864934,27.213039371668934,40.00915527566371,"N-deficiency, N-deficiency",Monitor,Edge-Node-B,1
Z1,27.0,7.0,81.0,25.84,6.38,41.59,60.59,"K-deficiency, N-deficiency",Irrigate,Cloud-Node-2,0
Z5,90.90887981718205,37.5179504007418,40.403946585414246,21.53091592426199,7.912846614349812,39.62435403880352,48.13459194031439,"Healthy, Healthy",Apply Fertilizer,Edge-Node-A,1
Z2,25.0,19.0,67.0,22.14,5.24,35.28,52.07,"Pest-risk, Healthy",Monitor,Cloud-Node-2,0
Z5,29.18459386699194,13.897425650948543,24.088871128310807,12.25342584996569,8.67716264385409,53.043114894374575,23.141548371743713,"Pest-risk, N-deficiency",Apply Pesticide,Cloud-Node-1,1
Z4,71.0,17.0,41.0,19.59,5.79,18.6,70.67,"P-deficiency, P-deficiency",Irrigate,Edge-Node-B,0
Z1,70.0,14.0,88.0,35.71,7.34,26.14,57.21,"Healthy, K-deficiency",Apply Pesticide,Cloud-Node-2,0
Z7,19.0,39.0,67.0,31.94,7.34,20.59,49.33,"Healthy, Pest-risk",Monitor,Edge-Node-A,0
Z10,100.47922109243483,13.701711967150203,120.27058282276289,13.536406828591765,6.091845643060728,29.838178151969935,40.62305432004059,"Healthy, P-deficiency",Apply Pesticide,Edge-Node-B,1
Z10,34.0,8.0,60.0,33.5,7.0,28.58,86.85,"Pest-risk, N-deficiency",Monitor,Edge-Node-B,0
Z4,22.255106230151757,19.28775873279819,51.92858120368743,47.70280227497756,8.370707651580615,13.837117249665718,61.972282146249746,"P-deficiency, P-deficiency",Apply Pesticide,Edge-Node-B,1
Z8,30.94486641777697,46.417299626665454,63.29631767272562,40.92302333213425,9.242227738015258,17.300015922130285,85.62560876122404,"Pest-risk, P-deficiency",Apply Fertilizer,Cloud-Node-2,1
Z9,61.0,37.0,83.0,10.94,7.58,26.37,91.86,"P-deficiency, P-deficiency",Apply Pesticide,Edge-Node-A,0
Z8,10.920621120355847,13.000739428995056,15.080857737634265,9.218506599818777,6.758408549986126,28.917225974528893,26.290751173300848,"Pest-risk, K-deficiency",Apply Pesticide,Cloud-Node-2,1
Z2,32.0,19.0,36.0,8.72,7.45,41.51,77.86,"Pest-risk, N-deficiency",Irrigate,Cloud-Node-1,0
Z8,60.473306590794,27.2129879658573,133.0412744997468,11.710024710328755,4.247048154824326,28.013957865579826,31.910240997900207,"Healthy, Healthy",Apply Fertilizer,Cloud-Node-1,1
Z2,74.0,15.0,26.0,9.71,6.04,19.98,77.04,"Healthy, K-deficiency",Apply Fertilizer,Edge-Node-B,0
Z7,19.053291584061498,14.540669893099562,30.084144606412888,28.848794711428553,4.757136520921032,18.067174858915912,130.70329877360138,"Pest-risk, Pest-risk",Irrigate,Edge-Node-A,1
Z2,39.93567130137659,17.6186785153132,51.68145697825205,29.765903968957804,7.820661831700662,25.39056218263257,71.81335767990805,"Pest-risk, K-deficiency",Apply Fertilizer,Edge-Node-B,1
Z10,17.595931977443477,7.960064465986335,33.935011670783844,19.990189237552205,3.7439507953281765,50.11009435073106,23.662331714668777,"Pest-risk, P-deficiency",Apply Fertilizer,Cloud-Node-1,1
Z7,13.983697570556487,18.127015369239892,30.039054040454676,15.602235916980247,8.884619148473687,31.335954598163145,43.9604711654182,"Pest-risk, K-deficiency",Apply Pesticide,Edge-Node-B,1
Z4,62.0,30.0,54.0,29.58,6.04,33.78,32.58,"K-deficiency, Pest-risk",Apply Fertilizer,Cloud-Node-2,0
Z3,84.21343433603279,20.6840014158677,94.55543504396664,10.693419793006212,8.77942872505277,50.59422294316395,16.221814006380782,"N-deficiency, Pest-risk",Monitor,Edge-Node-A,1
Z2,17.0,5.0,22.0,18.99,6.97,24.09,52.86,"Healthy, P-deficiency",Apply Pesticide,Edge-Node-B,0
Z2,33.20038646482162,9.222329573561561,37.350434772924324,20.95108385099474,5.030670651480252,28.47178336013304,112.88261411495198,"K-deficiency, P-deficiency",Irrigate,Edge-Node-A,1
Z9,52.0,33.0,28.0,35.58,6.11,35.85,67.28,"N-deficiency, P-deficiency",Apply Pesticide,Edge-Node-B,0
Z6,14.878607218904664,7.141731465074239,25.59120441651602,41.39102597455953,8.88426638048053,42.42564222881814,131.1833185904966,"K-deficiency, K-deficiency",Irrigate,Cloud-Node-1,1
Z9,24.0,19.0,44.0,28.54,6.43,27.55,70.28,"Pest-risk, N-deficiency",Apply Fertilizer,Edge-Node-A,0
Z6,57.0,30.0,89.0,15.21,6.72,35.68,54.36,"P-deficiency, N-deficiency",Irrigate,Edge-Node-B,0
Z9,36.07826933812927,6.184846172250731,40.201500119629756,30.02744341479013,6.1161725569878875,48.41360346750824,95.60430291259803,"P-deficiency, Healthy",Apply Pesticide,Edge-Node-B,1
Z7,57.0,12.0,59.0,19.12,6.26,21.05,71.2,"N-deficiency, P-deficiency",Monitor,Cloud-Node-2,0
Z2,60.0,6.0,74.0,13.42,6.64,41.53,40.78,"K-deficiency, K-deficiency",Apply Fertilizer,Cloud-Node-2,0
Z8,52.0,24.0,37.0,27.23,5.66,35.25,43.04,"Pest-risk, N-deficiency",Apply Fertilizer,Edge-Node-A,0
Z9,42.0,10.0,92.0,8.57,6.42,27.83,47.92,"Pest-risk, Healthy",Irrigate,Edge-Node-A,0
Z3,53.0,38.0,21.0,24.93,6.13,21.42,69.53,"K-deficiency, N-deficiency",Irrigate,Cloud-Node-1,0
Z7,17.0,16.0,84.0,33.98,6.7,32.28,41.77,"Healthy, Pest-risk",Irrigate,Cloud-Node-2,0
Z3,51.0,42.0,43.0,22.8,7.68,26.22,61.78,"N-deficiency, Healthy",Monitor,Cloud-Node-2,0
Z1,69.88257086758067,12.153490585666203,112.41978791741238,4.977924782943692,4.928037492991178,35.780264340092685,25.430583907595988,"Healthy, Pest-risk",Monitor,Cloud-Node-2,1
Z1,13.127521397072456,22.078104167803676,12.53081587902371,25.4600746907136,6.124001791470848,33.95740458971659,118.35651913528295,"P-deficiency, Pest-risk",Monitor,Edge-Node-A,1
Z5,36.76067608963185,15.362670604622265,36.76067608963185,17.605383898167076,6.914311583246387,16.200644597570417,48.65035402354483,"Healthy, K-deficiency",Irrigate,Cloud-Node-2,1
Z5,31.04132127985793,7.760330319964482,124.16528511943172,44.36887392699772,7.6689428208415755,47.19139256814563,81.38216530641625,"P-deficiency, Pest-risk",Irrigate,Edge-Node-B,1
Z9,74.0,19.0,71.0,13.99,5.61,21.9,61.49,"Healthy, Healthy",Monitor,Cloud-Node-2,0
Z4,54.0,43.0,34.0,20.85,6.22,34.11,30.53,"K-deficiency, Healthy",Monitor,Cloud-Node-1,0
Z3,85.29416322598635,57.82655133965177,82.40283565900377,12.652895288856495,3.6804912315115237,16.513579631375684,60.42432037495442,"P-deficiency, Healthy",Monitor,Cloud-Node-1,1
Z7,41.0,21.0,88.0,22.39,6.3,29.75,87.06,"K-deficiency, P-deficiency",Apply Pesticide,Cloud-Node-2,0
Z4,58.0,27.0,40.0,20.56,7.03,19.62,77.64,"K-deficiency, N-deficiency",Irrigate,Edge-Node-A,0
Z9,73.0,41.0,78.0,9.63,5.75,29.19,84.53,"P-deficiency, Healthy",Monitor,Edge-Node-B,0
Z4,12.828393622307447,9.74957915295366,24.117380009938,48.99662713417575,4.772265498691484,43.00667329963561,87.60494264271566,"N-deficiency, Pest-risk",Irrigate,Edge-Node-B,1
Z1,96.21109566782322,58.357549831302606,94.63386459130153,5.892715831949743,8.208366673985148,32.90903435165005,27.495447112804154,"N-deficiency, N-deficiency",Monitor,Edge-Node-A,1
Z8,72.0,11.0,32.0,23.5,5.87,36.29,93.52,"N-deficiency, N-deficiency",Apply Fertilizer,Edge-Node-B,0
Z4,72.79711498891763,68.15049062792288,52.66174275794041,46.30149667820843,8.820508667787637,33.02078123812241,41.24510579547989,"Pest-risk, Pest-risk",Apply Fertilizer,Edge-Node-A,1
Z3,16.195501884267905,20.822788136915882,15.038680321105915,15.359471819921739,6.219115007684332,19.053102082201157,63.443685925222354,"Pest-risk, N-deficiency",Apply Pesticide,Cloud-Node-1,1
Z3,19.76412191585733,8.732984102355566,13.788922266877208,17.78266211654093,7.997966801704392,15.45413234217443,54.540409756854395,"P-deficiency, K-deficiency",Irrigate,Edge-Node-A,1
Z4,51.0,19.0,49.0,13.25,6.87,39.46,70.16,"K-deficiency, K-deficiency",Apply Fertilizer,Cloud-Node-2,0
Z3,74.0,13.0,34.0,37.54,6.15,28.46,79.48,"K-deficiency, N-deficiency",Apply Pesticide,Cloud-Node-1,0
Z3,88.04207565747296,37.52613060810323,67.83569763772508,6.345535923197823,7.538900479205995,27.518138874801124,29.80958154169638,"Healthy, N-deficiency",Monitor,Cloud-Node-2,1
Z2,16.138727103361347,10.7591514022409,49.49209645030813,47.28013104786573,5.099852393011588,25.597355015052226,95.50014369823873,"Healthy, N-deficiency",Apply Fertilizer,Edge-Node-A,1
Z10,19.840490612310706,15.172139880002305,39.09743738308286,16.10381371010918,4.7532650995945245,25.7136012620375,75.10298770633878,"P-deficiency, Pest-risk",Apply Pesticide,Edge-Node-B,1
Z3,54.0,23.0,64.0,16.36,5.52,24.93,94.37,"Pest-risk, Pest-risk",Apply Fertilizer,Cloud-Node-2,0
Z9,24.0,7.0,66.0,22.47,6.32,30.85,39.04,"P-deficiency, N-deficiency",Apply Pesticide,Edge-Node-B,0
Z9,30.91217817889814,8.694050112815102,11.10906403304152,20.416112039043863,6.950766205220025,47.304137190747205,78.40734543783634,"K-deficiency, Pest-risk",Irrigate,Edge-Node-B,1
Z6,70.20587593585255,61.24342368872243,132.94304166576333,30.84207194037147,4.474467002325018,21.375215965144918,98.55678854688537,"K-deficiency, P-deficiency",Monitor,Cloud-Node-2,1
Z4,25.0,33.0,22.0,26.54,6.17,31.18,65.35,"P-deficiency, P-deficiency",Irrigate,Edge-Node-A,0
Z7,45.12914057248022,49.35999750115024,46.53942621537023,14.744017875399578,7.2203971937256215,21.75733058596421,126.87507504456448,"Healthy, P-deficiency",Apply Fertilizer,Cloud-Node-1,1
Z9,49.0,34.0,24.0,16.02,7.2,23.13,44.83,"Pest-risk, Healthy",Apply Pesticide,Edge-Node-A,0
Z8,13.5125372614773,17.56629843992049,35.583014788556895,11.12921582432577,7.806005126579544,28.611201747504815,28.50950320063365,"P-deficiency, N-deficiency",Irrigate,Edge-Node-B,1
Z3,14.563212293577838,17.891946532109912,36.19998484403634,17.676359205790938,5.304988242526484,29.747775758746815,17.94246924276182,"Pest-risk, Healthy",Monitor,Edge-Node-B,1
Z2,23.453419365757735,20.581572096481278,23.93206057730381,9.604644224736942,3.4824556111979543,50.46467273085397,46.2061262703561,"Healthy, Healthy",Apply Pesticide,Cloud-Node-2,1
Z10,74.0,32.0,78.0,36.6,5.28,21.99,90.34,"Pest-risk, K-deficiency",Irrigate,Cloud-Node-1,0
Z9,74.0,33.0,84.0,22.98,6.99,37.4,38.32,"K-deficiency, Pest-risk",Apply Fertilizer,Edge-Node-B,0
Z2,107.46793571463104,27.24539215300505,69.62711327990179,8.733921729620976,5.424535289860616,34.387813606260956,30.37931570291055,"P-deficiency, Healthy",Apply Pesticide,Edge-Node-A,1
Z5,74.0,37.0,85.0,32.5,6.51,32.47,78.45,"Healthy, N-deficiency",Apply Fertilizer,Cloud-Node-2,0
Z3,63.0,18.0,91.0,17.63,5.12,36.75,42.98,"N-deficiency, Pest-risk",Irrigate,Edge-Node-B,0
Z5,103.80332673682967,44.269065814236185,73.27293652011507,7.593056990818024,9.099125331634568,28.622477923418728,34.87497086218067,"Healthy, K-deficiency",Apply Fertilizer,Edge-Node-A,1
Z8,44.13578443310653,40.983228402170354,80.39017878887262,16.722194714919166,7.138880074542246,26.073040058625256,42.86974231984041,"P-deficiency, Pest-risk",Monitor,Edge-Node-B,1
Z8,86.62975995081781,46.86527997339324,106.5119999395301,12.544862105287798,5.275960012828106,29.81815826690658,51.635417176630085,"N-deficiency, N-deficiency",Apply Pesticide,Cloud-Node-1,1
